image_name,dial_value,bbox,camera_matrix
v_0977_f_0000_rgba.png,7.91772,"[425.0, 501.0, 216.0, 88.0]","[0.9816730618476868, -0.034350380301475525, 0.18745137751102448, 0.0, 0.03396357595920563, 0.9994091391563416, 0.005275798961520195, 0.0, -0.18752184510231018, 0.001187409507110715, 0.9822596907615662, 0.0, -0.7981177568435669, 0.08556943386793137, 4.6038432121276855, 1.0]"
v_0505_f_0000_rgba.png,3.49529,"[543.0, 288.0, 37.0, 228.0]","[0.9996006488800049, 0.02726796455681324, -0.007418375462293625, 0.0, -0.02718232199549675, 0.9995653629302979, 0.011410538107156754, 0.0, 0.00772629352286458, -0.011204332113265991, 0.999907374382019, 0.0, -0.14789603650569916, -0.3042681813240051, 4.776468276977539, 1.0]"
v_0191_f_0000_rgba.png,1.76757,"[605.0, 316.0, 176.0, 103.0]","[0.9500072002410889, 0.02983134798705578, -0.31079959869384766, 0.0, -0.055957257747650146, 0.9955756664276123, -0.07548411935567856, 0.0, 0.3071727454662323, 0.08910194784402847, 0.9474733471870422, 0.0, 0.7937890291213989, -0.09911350160837173, 5.420848846435547, 1.0]"
v_0465_f_0000_rgba.png,1.74054,"[609.0, 406.0, 87.0, 284.0]","[0.9839928150177002, -0.03775220736861229, -0.1741633117198944, 0.0, 0.03868738189339638, 0.9992493987083435, 0.00197649747133255, 0.0, 0.1739579737186432, -0.00868278183043003, 0.9847148060798645, 0.0, 0.22704216837882996, 0.26060906052589417, 3.776691436767578, 1.0]"
v_0268_f_0000_rgba.png,0.718518,"[441.0, 475.0, 257.0, 117.0]","[0.9893378019332886, -0.04679729789495468, 0.13791565597057343, 0.0, 0.05326041951775551, 0.9976305961608887, -0.043549295514822006, 0.0, -0.13555088639259338, 0.050430409610271454, 0.9894860982894897, 0.0, -0.8672782182693481, 0.32998430728912354, 3.8581037521362305, 1.0]"
v_0786_f_0000_rgba.png,5.35015,"[458.0, 252.0, 217.0, 114.0]","[0.9887903928756714, -0.02592579647898674, 0.14704227447509766, 0.0, 0.06893988698720932, 0.95282381772995, -0.2955910563468933, 0.0, -0.1324419379234314, 0.3024146556854248, 0.9439303278923035, 0.0, -0.7016504406929016, 0.729497492313385, 4.538302421569824, 1.0]"
v_0140_f_0000_rgba.png,-1.44865,"[234.0, 522.0, 347.0, 171.0]","[0.9820881485939026, 0.047746527940034866, 0.18227215111255646, 0.0, -0.02808556519448757, 0.9936490654945374, -0.1089622974395752, 0.0, -0.18631713092327118, 0.10189136117696762, 0.9771919250488281, 0.0, -0.47398239374160767, 0.48987916111946106, 2.917123317718506, 1.0]"
v_0640_f_0000_rgba.png,5.81261,"[294.0, 651.0, 120.0, 197.0]","[0.9992645382881165, -0.025168513879179955, -0.028929000720381737, 0.0, 0.03300991654396057, 0.9485137462615967, 0.3150111436843872, 0.0, 0.01951119303703308, -0.3157344162464142, 0.9486469626426697, 0.0, 0.8348914384841919, -0.5377297401428223, 5.004819393157959, 1.0]"
v_0237_f_0000_rgba.png,-1.19139,"[167.0, 391.0, 399.0, 73.0]","[0.999228835105896, -0.03852742910385132, -0.007570959627628326, 0.0, 0.037654776126146317, 0.9949272871017456, -0.09328379482030869, 0.0, 0.01112653873860836, 0.09292677789926529, 0.995610773563385, 0.0, 0.16754527390003204, 0.06551273912191391, 2.747739315032959, 1.0]"
v_0388_f_0000_rgba.png,-0.530731,"[271.0, 209.0, 274.0, 344.0]","[0.9659671187400818, 0.04191495478153229, 0.2552463114261627, 0.0, -0.009987863712012768, 0.9920917749404907, -0.12511654198169708, 0.0, -0.2584719955921173, 0.11830910295248032, 0.9587466716766357, 0.0, -0.5662510395050049, 0.17810292541980743, 2.6459522247314453, 1.0]"
