image_name,min_value,max_value,min_angle,max_angle
v_0977_f_0000_rgba.png,"[492, 533]","[492, 533]","[-0.591932, -0.235341, -0.0102]","[0.591932, -0.235341, -0.0102]"
v_0505_f_0000_rgba.png,"[561, 448]","[561, 448]","[-0.602699, -0.206211, -0.0102]","[0.602699, -0.206211, -0.0102]"
v_0191_f_0000_rgba.png,"[726, 384]","[726, 384]","[-0.636221, -0.0314974, -0.0102]","[0.636221, -0.0314974, -0.0102]"
v_0465_f_0000_rgba.png,"[657, 603]","[657, 603]","[-0.472333, -0.4274, -0.0102]","[0.472333, -0.4274, -0.0102]"
v_0268_f_0000_rgba.png,"[619, 548]","[619, 548]","[-0.500288, -0.394311, -0.0102]","[0.500288, -0.394311, -0.0102]"
v_0786_f_0000_rgba.png,"[524, 325]","[524, 325]","[-0.589321, -0.241806, -0.0102]","[0.589321, -0.241806, -0.0102]"
v_0140_f_0000_rgba.png,"[475, 588]","[475, 588]","[-0.309654, -0.556672, -0.0102]","[0.309654, -0.556672, -0.0102]"
v_0640_f_0000_rgba.png,"[335, 785]","[335, 785]","[-0.623748, -0.129258, -0.0102]","[0.623748, -0.129258, -0.0102]"
v_0237_f_0000_rgba.png,"[446, 428]","[446, 428]","[-0.255399, -0.583558, -0.0102]","[0.255399, -0.583558, -0.0102]"
v_0388_f_0000_rgba.png,"[450, 444]","[450, 444]","[-0.243543, -0.588605, -0.0102]","[0.243543, -0.588605, -0.0102]"
v_0998_f_0000_rgba.png,"[640, 298]","[640, 298]","[-0.50515, -0.388062, -0.0102]","[0.50515, -0.388062, -0.0102]"
v_0705_f_0000_rgba.png,"[559, 490]","[559, 490]","[-0.612422, -0.175238, -0.0102]","[0.612422, -0.175238, -0.0102]"
v_0219_f_0000_rgba.png,"[529, 528]","[529, 528]","[-0.227047, -0.595163, -0.0102]","[0.227047, -0.595163, -0.0102]"
v_0246_f_0000_rgba.png,"[517, 553]","[517, 553]","[-0.528242, -0.35599, -0.0102]","[0.528242, -0.35599, -0.0102]"
v_0521_f_0000_rgba.png,"[577, 380]","[577, 380]","[-0.469332, -0.430694, -0.0102]","[0.469331, -0.430694, -0.0102]"
v_0234_f_0000_rgba.png,"[515, 507]","[515, 507]","[-0.465415, -0.434923, -0.0102]","[0.465415, -0.434923, -0.0102]"
v_0318_f_0000_rgba.png,"[626, 421]","[626, 421]","[-0.538635, -0.340061, -0.0102]","[0.538635, -0.340061, -0.0102]"
v_0004_f_0000_rgba.png,"[252, 728]","[252, 728]","[-0.63011, -0.0934354, -0.0102]","[0.63011, -0.0934353, -0.0102]"
v_0532_f_0000_rgba.png,"[562, 712]","[562, 712]","[-0.45218, -0.448667, -0.0102]","[0.45218, -0.448667, -0.0102]"
v_0701_f_0000_rgba.png,"[350, 551]","[350, 551]","[-0.517228, -0.371812, -0.0102]","[0.517228, -0.371812, -0.0102]"
v_0045_f_0000_rgba.png,"[425, 425]","[425, 425]","[-0.499046, -0.395882, -0.0102]","[0.499046, -0.395882, -0.0102]"
v_0901_f_0000_rgba.png,"[648, 540]","[648, 540]","[-0.602464, -0.206897, -0.0102]","[0.602464, -0.206897, -0.0102]"
v_0813_f_0000_rgba.png,"[421, 661]","[421, 661]","[-0.622826, -0.133628, -0.0102]","[0.622826, -0.133628, -0.0102]"
v_0708_f_0000_rgba.png,"[712, 237]","[712, 237]","[-0.635998, -0.0357133, -0.0102]","[0.635998, -0.0357131, -0.0102]"
v_0635_f_0000_rgba.png,"[637, 365]","[637, 365]","[-0.474174, -0.425356, -0.0102]","[0.474174, -0.425356, -0.0102]"
v_0019_f_0000_rgba.png,"[648, 432]","[648, 432]","[-0.421977, -0.477184, -0.0102]","[0.421977, -0.477184, -0.0102]"
v_0325_f_0000_rgba.png,"[491, 581]","[491, 581]","[-0.252881, -0.584654, -0.0102]","[0.252881, -0.584654, -0.0102]"
v_0183_f_0000_rgba.png,"[436, 656]","[436, 656]","[-0.417579, -0.481037, -0.0102]","[0.417579, -0.481037, -0.0102]"
v_0168_f_0000_rgba.png,"[235, 279]","[235, 279]","[-0.621783, -0.138402, -0.0102]","[0.621783, -0.138402, -0.0102]"
v_0905_f_0000_rgba.png,"[575, 430]","[575, 430]","[-0.416512, -0.481962, -0.0102]","[0.416512, -0.481962, -0.0102]"
v_0982_f_0000_rgba.png,"[651, 637]","[651, 637]","[-0.323058, -0.549002, -0.0102]","[0.323058, -0.549002, -0.0102]"
v_0728_f_0000_rgba.png,"[669, 472]","[669, 472]","[-0.441504, -0.459176, -0.0102]","[0.441504, -0.459176, -0.0102]"
v_0677_f_0000_rgba.png,"[438, 713]","[438, 713]","[-0.498582, -0.396465, -0.0102]","[0.498582, -0.396465, -0.0102]"
v_0830_f_0000_rgba.png,"[371, 650]","[371, 650]","[-0.578634, -0.266368, -0.0102]","[0.578634, -0.266368, -0.0102]"
v_0967_f_0000_rgba.png,"[407, 434]","[407, 434]","[-0.311293, -0.555757, -0.0102]","[0.311292, -0.555757, -0.0102]"
v_0537_f_0000_rgba.png,"[358, 697]","[358, 697]","[-0.520598, -0.367079, -0.0102]","[0.520598, -0.367079, -0.0102]"
v_0249_f_0000_rgba.png,"[664, 627]","[664, 627]","[-0.374823, -0.51505, -0.0102]","[0.374824, -0.51505, -0.0102]"
v_0797_f_0000_rgba.png,"[580, 446]","[580, 446]","[-0.253234, -0.584501, -0.0102]","[0.253234, -0.584501, -0.0102]"
v_0499_f_0000_rgba.png,"[778, 767]","[778, 767]","[-0.628413, -0.104242, -0.0102]","[0.628413, -0.104242, -0.0102]"
v_0013_f_0000_rgba.png,"[320, 572]","[320, 572]","[-0.599277, -0.215954, -0.0102]","[0.599277, -0.215954, -0.0102]"
v_0366_f_0000_rgba.png,"[578, 801]","[578, 801]","[-0.636571, -0.0233716, -0.0102]","[0.636571, -0.0233716, -0.0102]"
v_0083_f_0000_rgba.png,"[576, 338]","[576, 338]","[-0.559701, -0.304145, -0.0102]","[0.559701, -0.304145, -0.0102]"
v_0008_f_0000_rgba.png,"[363, 482]","[363, 482]","[-0.560874, -0.301976, -0.0102]","[0.560874, -0.301976, -0.0102]"
v_0711_f_0000_rgba.png,"[456, 608]","[456, 608]","[-0.528809, -0.355148, -0.0102]","[0.528809, -0.355148, -0.0102]"
v_0788_f_0000_rgba.png,"[659, 507]","[659, 507]","[-0.544176, -0.331122, -0.0102]","[0.544176, -0.331122, -0.0102]"
v_0319_f_0000_rgba.png,"[448, 548]","[448, 548]","[-0.228016, -0.594792, -0.0102]","[0.228016, -0.594792, -0.0102]"
v_0299_f_0000_rgba.png,"[504, 378]","[504, 378]","[-0.580048, -0.263274, -0.0102]","[0.580048, -0.263274, -0.0102]"
v_0371_f_0000_rgba.png,"[580, 463]","[580, 463]","[-0.323867, -0.548525, -0.0102]","[0.323867, -0.548525, -0.0102]"
v_0262_f_0000_rgba.png,"[383, 310]","[383, 310]","[-0.487767, -0.409698, -0.0102]","[0.487767, -0.409698, -0.0102]"
v_0475_f_0000_rgba.png,"[745, 583]","[745, 583]","[-0.587824, -0.245423, -0.0102]","[0.587824, -0.245423, -0.0102]"
v_0414_f_0000_rgba.png,"[279, 316]","[279, 316]","[-0.555271, -0.312159, -0.0102]","[0.555271, -0.312159, -0.0102]"
v_0221_f_0000_rgba.png,"[379, 432]","[379, 432]","[-0.373654, -0.515899, -0.0102]","[0.373654, -0.515899, -0.0102]"
v_0778_f_0000_rgba.png,"[614, 274]","[614, 274]","[-0.635399, -0.0451409, -0.0102]","[0.635399, -0.0451409, -0.0102]"
v_0593_f_0000_rgba.png,"[546, 331]","[546, 331]","[-0.505686, -0.387363, -0.0102]","[0.505686, -0.387363, -0.0102]"
v_0799_f_0000_rgba.png,"[599, 496]","[599, 496]","[-0.303568, -0.560014, -0.0102]","[0.303568, -0.560014, -0.0102]"
v_0424_f_0000_rgba.png,"[634, 637]","[634, 637]","[-0.480449, -0.418255, -0.0102]","[0.480449, -0.418255, -0.0102]"
v_0009_f_0000_rgba.png,"[237, 355]","[237, 355]","[-0.622988, -0.13287, -0.0102]","[0.622988, -0.13287, -0.0102]"
v_0081_f_0000_rgba.png,"[442, 464]","[442, 464]","[-0.375, -0.514921, -0.0102]","[0.375, -0.514921, -0.0102]"
v_0432_f_0000_rgba.png,"[317, 470]","[317, 470]","[-0.605823, -0.196843, -0.0102]","[0.605823, -0.196843, -0.0102]"
v_0477_f_0000_rgba.png,"[549, 444]","[549, 444]","[-0.383063, -0.508952, -0.0102]","[0.383063, -0.508952, -0.0102]"
v_0692_f_0000_rgba.png,"[300, 448]","[300, 448]","[-0.522777, -0.363969, -0.0102]","[0.522777, -0.363969, -0.0102]"
v_0364_f_0000_rgba.png,"[365, 566]","[365, 566]","[-0.622939, -0.133101, -0.0102]","[0.622939, -0.133101, -0.0102]"
v_0678_f_0000_rgba.png,"[646, 448]","[646, 448]","[-0.47906, -0.419846, -0.0102]","[0.47906, -0.419846, -0.0102]"
v_0235_f_0000_rgba.png,"[667, 514]","[667, 514]","[-0.474294, -0.425222, -0.0102]","[0.474294, -0.425222, -0.0102]"
v_0206_f_0000_rgba.png,"[361, 579]","[361, 579]","[-0.507999, -0.384326, -0.0102]","[0.507999, -0.384326, -0.0102]"
v_0510_f_0000_rgba.png,"[540, 562]","[540, 562]","[-0.59244, -0.234058, -0.0102]","[0.59244, -0.234059, -0.0102]"
v_0404_f_0000_rgba.png,"[433, 792]","[433, 792]","[-0.634574, -0.0555385, -0.0102]","[0.634574, -0.0555385, -0.0102]"
v_0911_f_0000_rgba.png,"[419, 332]","[419, 332]","[-0.539964, -0.337946, -0.0102]","[0.539964, -0.337946, -0.0102]"
v_0926_f_0000_rgba.png,"[604, 544]","[604, 544]","[-0.335312, -0.541604, -0.0102]","[0.335312, -0.541604, -0.0102]"
v_0581_f_0000_rgba.png,"[328, 365]","[328, 365]","[-0.451045, -0.449808, -0.0102]","[0.451045, -0.449808, -0.0102]"
v_0939_f_0000_rgba.png,"[679, 531]","[679, 531]","[-0.571311, -0.281732, -0.0102]","[0.571311, -0.281732, -0.0102]"
v_0909_f_0000_rgba.png,"[384, 458]","[384, 458]","[-0.548786, -0.323424, -0.0102]","[0.548786, -0.323424, -0.0102]"
v_0089_f_0000_rgba.png,"[706, 774]","[706, 774]","[-0.634198, -0.0596836, -0.0102]","[0.634198, -0.0596838, -0.0102]"
v_0654_f_0000_rgba.png,"[447, 527]","[447, 527]","[-0.320433, -0.550538, -0.0102]","[0.320433, -0.550538, -0.0102]"
v_0860_f_0000_rgba.png,"[462, 642]","[462, 642]","[-0.6031, -0.205036, -0.0102]","[0.6031, -0.205035, -0.0102]"
v_0603_f_0000_rgba.png,"[287, 544]","[287, 544]","[-0.596854, -0.222563, -0.0102]","[0.596854, -0.222563, -0.0102]"
v_0052_f_0000_rgba.png,"[689, 410]","[689, 410]","[-0.629334, -0.0985308, -0.0102]","[0.629334, -0.0985309, -0.0102]"
v_0735_f_0000_rgba.png,"[626, 511]","[626, 511]","[-0.288506, -0.56792, -0.0102]","[0.288506, -0.56792, -0.0102]"
v_0383_f_0000_rgba.png,"[497, 703]","[497, 703]","[-0.585096, -0.251857, -0.0102]","[0.585096, -0.251857, -0.0102]"
v_0340_f_0000_rgba.png,"[363, 779]","[363, 779]","[-0.627869, -0.107467, -0.0102]","[0.627869, -0.107467, -0.0102]"
